date,지육_평균_예측,지육_평균_하한,지육_평균_상한,암송아지_예측,암송아지_하한,암송아지_상한,숫송아지_예측,숫송아지_하한,숫송아지_상한
2026-05-20,20554,19928,21172,3648022,3509148,3817326,4514166,4264043,4761583
2026-05-21,20579,19971,21208,3648469,3499912,3801275,4510301,4250163,4760657
2026-05-22,20598,19961,21240,3649403,3508234,3793113,4507025,4254710,4756056
2026-05-26,20753,20133,21379,3665757,3513092,3828779,4530749,4263601,4771068
2026-05-27,20742,20089,21350,3669647,3515902,3820390,4531988,4280765,4785555
2026-05-28,20735,20095,21317,3674703,3521421,3818723,4536509,4289335,4788864
2026-05-29,20718,20117,21324,3680101,3535267,3829944,4540967,4291977,4772975
2026-06-02,20691,20065,21299,3711503,3560440,3864461,4586130,4302222,4812212
2026-06-03,20641,20090,21250,3718724,3576764,3877610,4592141,4339637,4856937
2026-06-04,20601,19984,21214,3726839,3569571,3885357,4601045,4330638,4866947
2026-06-05,20552,19934,21175,3734835,3586181,3879489,4608838,4355793,4872212
2026-06-09,20431,19800,21034,3770962,3616807,3915018,4654483,4399583,4911255
2026-06-10,20373,19745,21007,3778201,3629441,3927828,4658811,4438828,4920621
2026-06-11,20332,19666,20976,3785893,3621633,3929456,4665488,4408532,4898890
2026-06-12,20289,19664,20923,3792925,3637481,3945294,4670111,4414808,4917832
2026-06-16,20224,19605,20848,3820148,3675600,3975284,4694494,4446115,4955020
2026-06-17,20193,19538,20784,3824380,3668538,3985846,4692989,4422724,4926743
2026-06-18,20183,19532,20834,3828884,3684074,3976803,4693962,4431775,4951954
2026-06-19,20171,19566,20797,3832529,3683438,3987517,4692795,4458746,4948093
2026-06-23,20229,19615,20879,3845376,3705156,3999312,4694910,4435133,4944004
2026-06-24,20227,19592,20859,3846343,3701376,3997624,4689452,4432825,4923635
2026-06-25,20245,19600,20869,3847831,3698798,3991082,4687286,4434324,4915936
2026-06-26,20258,19574,20845,3848697,3700146,3994926,4683595,4440397,4933547
2026-06-30,20370,19743,21009,3853300,3687389,4002196,4681445,4446840,4923480
2026-07-01,20373,19758,20984,3853170,3702112,4005665,4676992,4415409,4924555
2026-07-02,20393,19733,21022,3853920,3689676,3992048,4676475,4420082,4908453
2026-07-03,20404,19714,21020,3854344,3705419,4012138,4674835,4418041,4942125
2026-07-07,20474,19750,21100,3859204,3715222,4017481,4682213,4439627,4947629
2026-07-08,20464,19817,21140,3859533,3710072,4019071,4680524,4413541,4952662
2026-07-09,20471,19739,21106,3860746,3717733,4019097,4682568,4433463,4931644
2026-07-10,20467,19767,21170,3861552,3709102,4021098,4683091,4436413,4935581
2026-07-14,20489,19755,21165,3865783,3717752,4012634,4692926,4452648,4960907
2026-07-15,20475,19753,21127,3865297,3716419,4021378,4690594,4450336,4937161
2026-07-16,20480,19819,21135,3865322,3726777,4016825,4691283,4422705,4939702
2026-07-17,20477,19755,21139,3864541,3709951,4025751,4689738,4443537,4935869
2026-07-21,20531,19862,21220,3858441,3706010,4012768,4684776,4431068,4948857
2026-07-22,20534,19873,21232,3854645,3698838,4003170,4678070,4429657,4935040
2026-07-23,20557,19846,21214,3851123,3695365,4002651,4674151,4417794,4922339
2026-07-24,20575,19844,21257,3846641,3700568,4014498,4667932,4418924,4900968
2026-07-28,20716,19994,21350,3825767,3668391,3975122,4645922,4398297,4908846
