"date","명절","암송아지","숫송아지","농가수취가격_600kg","지육_평균","지육_1등급","도매_등심1등급","소비자_등심1등급","year","week","wday","비고"
2026-03-02,NA,NA,NA,6699990000,187022765,19500508,NA,101210530,2026,10,"월",NA
2026-02-27,NA,NA,NA,768929000,2146780,20008273,58185946,101740400,2026,9,"금",NA
2026-02-26,NA,355443000,46672000,771898000,21547274,19735118,572394152,1021403900,2026,9,"목",NA
2026-02-25,NA,35112000,466925000,762014000,2127339,19617139,613914015,106040270,2026,9,"수",NA
2026-02-24,NA,350972000,46942000,7634317000,21312886,194781143,573765391,105770150,2026,9,"화",NA
2026-02-23,NA,358153000,469235000,7317580000,204261619,18335841,NA,1056201380,2026,9,"월",NA
2026-02-20,NA,NA,NA,NA,NA,NA,NA,1042401440,2026,8,"금",NA
2026-02-19,NA,363424000,47273000,NA,NA,NA,NA,10280011260,2026,8,"목",NA
2026-02-18,NA,36107000,473010000,NA,NA,NA,NA,9154070,2026,8,"수",NA
2026-02-17,NA,36037000,NA,NA,NA,NA,NA,916102070,2026,8,"화",NA
2026-02-16,NA,NA,NA,NA,NA,NA,NA,895401550,2026,8,"월",NA
2026-02-13,NA,NA,NA,7597144000,21209402,20324394,59381559,87990250,2026,7,"금",NA
2026-02-12,NA,NA,NA,774189000,21611250,19930253,599406165,8824015230,2026,7,"목",NA
2026-02-11,NA,357438000,47431000,7652134000,21361374,19677172,661051279,1034703530,2026,7,"수",NA
2026-02-10,NA,353619000,NA,7518124000,20987345,1950563,648264020,107000100,2026,7,"화",NA
2026-02-09,NA,NA,474219000,7394263000,20642733,19568766,608062496,1069008760,2026,7,"월",NA
2026-02-06,NA,35554000,472336000,713153000,19909146,18802150,583103804,981405780,2026,6,"금",NA
2026-02-05,NA,35515000,468711000,7184106000,20055297,18652156,621143905,1039203760,2026,6,"목",NA
2026-02-04,NA,355625000,467616000,729050000,20352139,18808202,582094267,1001601720,2026,6,"수",NA
2026-02-03,NA,NA,NA,NA,NA,NA,NA,NA,2026,6,"화",NA
2026-02-02,NA,3623000,4670000,7007000,19562,19036,60897,101960,2026,6,"월",NA
2026-01-30,NA,NA,NA,7025000,19613,18701,60217,100280,2026,5,"금",NA
2026-01-29,NA,NA,NA,7210000,20128,18963,52989,100270,2026,5,"목",NA
2026-01-28,NA,3570000,4646000,7385000,20617,19130,60318,102590,2026,5,"수",NA
2026-01-27,NA,3570000,4646000,7453000,20806,19311,58538,102380,2026,5,"화",NA
2026-01-26,NA,3551000,4652000,7191000,20075,19206,62338,102320,2026,5,"월",NA
2026-01-23,NA,NA,NA,7180000,20045,19322,62191,101670,2026,4,"금",NA
2026-01-22,NA,3537000,4647000,7491000,20914,19720,58999,102240,2026,4,"목",NA
2026-01-21,NA,3537000,4647000,7658000,21378,19932,67612,101630,2026,4,"수",NA
2026-01-20,NA,3521000,4665000,7650000,21356,19935,69301,102510,2026,4,"화",NA
2026-01-19,NA,3504000,4657000,7137000,19924,19301,63476,102060,2026,4,"월",NA
2026-01-16,NA,3480000,4673000,7432000,20748,19689,64612,99640,2026,3,"금",NA
2026-01-15,NA,3480000,4673000,7599000,21214,19863,56555,100160,2026,3,"목",NA
2026-01-14,NA,3411000,4603000,7793000,21755,20085,60425,100060,2026,3,"수",NA
2026-01-13,NA,3411000,4603000,7803000,21785,19974,55029,102060,2026,3,"화",NA
2026-01-12,NA,3432000,4598000,6495000,18131,19200,62329,102070,2026,3,"월",NA
2026-01-09,NA,3441000,4609000,7617000,21264,20186,56320,102160,2026,2,"금",NA
2026-01-08,NA,3420000,4549000,7669000,21411,19919,59272,100060,2026,2,"목",NA
2026-01-07,NA,3419000,4545000,7710000,21525,19769,59294,102280,2026,2,"수",NA
2026-01-06,NA,3419000,4541000,7614000,21257,19617,57435,103420,2026,2,"화",NA
2026-01-05,NA,3399000,4523000,6448000,18001,18183,NA,103230,2026,2,"월",NA
2026-01-02,NA,3398000,4547000,7404000,20670,19305,57490,102620,2026,1,"금",NA
2025-12-31,NA,3407000,4515000,7469000,20852,19248,59448,103320,2025,1,"수",NA
2025-12-30,NA,3654000,4512000,7409000,20684,19085,53410,104390,2025,1,"화",NA
2025-12-29,NA,3640000,4507000,5351000,14938,17558,53731,104800,2025,1,"월",NA
2025-12-26,NA,3628000,4549000,7294000,20362,18705,55331,104090,2025,52,"금",NA
2025-12-25,NA,3662000,4568000,6953000,19410,18579,NA,98730,2025,52,"목",NA
2025-12-24,NA,3681000,4571000,7185000,20058,18561,55450,98960,2025,52,"수",NA
2025-12-23,NA,3675000,4567000,7290000,20352,18452,55450,102560,2025,52,"화",NA
2025-12-22,NA,3652000,4567000,5109000,14263,17375,53778,101600,2025,52,"월",NA
2025-12-19,NA,3590000,4562000,6918000,19313,18313,53848,97860,2025,51,"금",NA
2025-12-18,NA,3410000,4562000,7177000,20036,18297,58934,97130,2025,51,"목",NA
2025-12-17,NA,3440000,4571000,7277000,20316,18453,54008,97830,2025,51,"수",NA
2025-12-16,NA,3418000,4565000,7295000,20365,18782,57285,100620,2025,51,"화",NA
2025-12-15,NA,3518000,4548000,5378000,15014,16909,58270,100460,2025,51,"월",NA
2025-12-12,NA,3517000,4536000,7082000,19770,18914,55940,93020,2025,50,"금",NA
2025-12-11,NA,3517000,4536000,7273000,20304,18928,62400,95530,2025,50,"목",NA
2025-12-10,NA,3500000,4528000,7334000,20475,18970,64240,97350,2025,50,"수",NA
2025-12-09,NA,NA,NA,7358000,20541,19220,57174,97940,2025,50,"화",NA
2025-12-08,NA,NA,NA,5823000,16256,18319,61500,97840,2025,50,"월",NA
2025-12-05,NA,3393000,4463000,7669000,21409,19153,58237,87900,2025,49,"금",NA
2025-12-04,NA,3367000,4443000,7352000,20524,19353,61398,95360,2025,49,"목",NA
2025-12-03,NA,3367000,4443000,7443000,20779,19265,59554,93500,2025,49,"수",NA
2025-12-02,NA,3355000,4447000,7356000,20537,19179,60014,95210,2025,49,"화",NA
2025-12-01,NA,3335000,4453000,6180000,17254,17885,60037,95310,2025,49,"월",NA
2025-11-28,NA,3330000,4466000,7263000,20275,19057,57006,104430,2025,48,"금",NA
2025-11-27,NA,3321000,4468000,7268000,20290,19131,63205,106550,2025,48,"목",NA
2025-11-26,NA,3343000,4472000,7246000,20230,19049,65012,104730,2025,48,"수",NA
2025-11-25,NA,3357000,4495000,7165000,20002,19018,67349,104790,2025,48,"화",NA
2025-11-24,NA,3350000,4505000,5792000,16170,16989,58242,104690,2025,48,"월",NA
2025-11-21,NA,3293000,4499000,7022000,19603,18687,64030,103700,2025,47,"금",NA
2025-11-20,NA,3293000,4520000,7158000,19982,18898,62015,103450,2025,47,"목",NA
2025-11-19,NA,3293000,4520000,7133000,19914,18770,62791,103470,2025,47,"수",NA
2025-11-18,NA,3298000,4519000,7089000,19792,18748,64888,104150,2025,47,"화",NA
2025-11-17,NA,3285000,4496000,5052000,14104,17777,62578,104280,2025,47,"월",NA
2025-11-14,NA,3274000,4514000,6841000,19099,18590,62611,103490,2025,46,"금",NA
2025-11-13,NA,3253000,4504000,7010000,19569,18990,63754,102810,2025,46,"목",NA
2025-11-12,NA,3212000,4472000,7100000,19820,18979,63458,98960,2025,46,"수",NA
